specification,OR,CI_lo,CI_hi,p
"Current snapshot
(count at extraction)",0.972836441678489,0.9002562161369179,1.0512682115307124,0.4863351825555631
"Pre-round only
(deals before first round)",0.8094794399580342,0.7103226451425104,0.9224779305512778,0.0015226732638846578
