specification,OR,CI_lo,CI_hi,p,events
"Primary model
Realised status",0.3782761913355744,0.25911826284065836,0.5522299947624354,4.749947115702167e-07,227
"Year effects dropped
(simplified)",0.3627138581879248,0.24833763780500545,0.5297680371143414,1.545478988614872e-07,227
Founded 2013 or later,0.3354852165939306,0.2137086451860745,0.5266531471156901,2.066802233112667e-06,149
"Realised AND liquidity
deal type (nested)",0.916516773862039,0.4667472820090714,1.7996955293553358,0.8001110953754477,61
"Liquidity deal type only
(independent of status)",0.9826589906016864,0.6991416825483433,1.3811487941767164,0.919771431911055,332
