syndicate_cat,sum,count,rate,lo,hi
1,158,1062,0.1487758945386064,0.12863992479477643,0.17144359717159968
2,56,710,0.07887323943661972,0.061237076391618815,0.10104189660620996
3,10,349,0.02865329512893983,0.0156369500534455,0.05193294068552746
4+,3,309,0.009708737864077669,0.003307234341778988,0.02815106040532097
