,coef,se,OR,OR_lo,OR_hi,p
Intercept,-4.60215588569694,0.49754339509832596,0.010030188478623749,0.003782678127665478,0.026596151594533338,2.250019913283477e-20
"C(syndicate_cat, Treatment(reference='1'))[T.2]",-0.08717490978361846,0.34428816822285097,0.916516773862039,0.4667472820090714,1.7996955293553358,0.8001110953754477
"C(syndicate_cat, Treatment(reference='1'))[T.3]",-1.0893974614985682,0.6343759714803778,0.33641913813341173,0.09702840403333567,1.1664402566442658,0.08592909163117947
"C(syndicate_cat, Treatment(reference='1'))[T.4+]",-1.852300551213563,1.0379538485417474,0.15687584993262363,0.020513897166176676,1.199676107017836,0.07433120816296272
flag_founding_pre2000,0.7224670733849433,0.3235070461556758,2.0595079053872736,1.0924303730284162,3.8826939611668445,0.025533489043351305
first_round_foreign_investor_share,0.19754222733141846,0.29669027977818113,1.2184045138545654,0.6811586487343904,2.179388843024214,0.5055263638288188
log_investor_experience_mean,-0.06951864907852082,0.06443058910287788,0.9328427365648974,0.8221764207072724,1.0584049228914956,0.2806012651165901
years_since_first_investment,0.20582268654789668,0.05254635069620688,1.2285353488378243,1.1083071173756662,1.3618058385458245,8.966743599840166e-05
